UserID,MovieID,Age,Gender,Occupation,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,unknown,Rating
659,70,31,M,educator,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
713,882,42,F,other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
883,55,49,M,librarian,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,4
703,322,26,M,educator,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
707,317,56,F,librarian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
659,315,31,M,educator,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
676,750,30,M,programmer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
268,176,24,M,engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5
57,323,16,M,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
690,208,35,M,salesman,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
845,909,64,M,doctor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
913,210,27,M,student,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
251,79,28,M,doctor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
916,135,27,M,engineer,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,4
457,676,33,F,salesman,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
880,21,13,M,student,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
916,50,27,M,engineer,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5
728,116,58,M,executive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
812,245,22,M,technician,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2
911,240,37,F,writer,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
643,159,39,M,scientist,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
286,250,27,M,student,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
405,26,22,F,healthcare,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
679,322,20,F,student,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
650,391,42,M,engineer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
405,1041,22,F,healthcare,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
659,708,31,M,educator,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
774,447,30,M,student,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
332,678,20,M,student,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
531,898,30,F,salesman,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
455,550,48,M,administrator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
830,265,46,M,programmer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
934,179,61,M,engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
754,237,59,F,librarian,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
524,82,56,M,educator,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
843,69,35,M,librarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
274,1051,20,F,student,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,121,39,M,engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
452,179,35,M,administrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
919,246,25,M,other,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
522,480,36,M,engineer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
613,435,37,F,marketing,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
882,416,35,M,engineer,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
734,487,25,F,other,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
474,479,51,M,executive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5
712,1503,22,F,student,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
823,173,27,M,artist,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
715,28,21,M,technician,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
393,125,19,M,student,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
317,260,22,M,administrator,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4
597,151,23,M,other,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
919,717,25,M,other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
697,975,25,M,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13,49,47,M,educator,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
883,1115,49,M,librarian,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
526,273,30,M,marketing,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
889,226,24,M,technician,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
883,65,49,M,librarian,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
553,506,58,M,educator,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
486,408,39,M,educator,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
85,1113,51,M,educator,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
608,735,22,M,other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
894,311,47,M,educator,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4
210,174,39,M,engineer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
